docid,Qa
2075167,410.4
2087370,131
2087371,271.13
2087683,542.27
4145343,455
4145473,237
4162007,362
4162674,327
4162682,262
4171022,15
4216748,196
4237149,32.73
4249487,846.53
4249517,17.12
4259487,210.4
4259518,100
4289234,210.4
4298593,160
4298628,236
4302478,160
4442716,27
4638842,1199
4641543,453
4643846,195.495
4645379,10.8
4645388,9.11
4652446,42.45
4652457,275.4
4700176,30
4712040,72.98
4712089,109.47
4721251,21
4723861,15015
5965244,250
5965329,90.75
6556983,187.758
6719691,67.2
6799675,447
6799677,127.53
6799678,230.841
6800490,92
6800491,194.25
6800562,19.2
6800566,137
6800568,90.2
6800716,392
6800717,1143.45
6801167,173.64
6801464,541
4766215,127
5242725,283.9
4273745,24.5
2086894,17.875
4999062,16.25
4660572,17.875
4598165,70
2086957,37.5
4470812,127
4645314,78.3
6801169,706
4712498,487.5
4717208,915
5965303,511
6047807,348
6577532,164
2086769,221
2087128,1480
2087367,2200
2087368,967.2
2087369,1615.88
2087372,1023
2087675,262
2087684,1962
2087685,843.6
2087686,1523.6
4173940,40
4218680,9660
4219070,123.64
4275449,81.6
4487028,23
4652466,41.15
6045272,81.6
6577646,122.73
6618649,106.32
6800762,275.64
2085280,58
2085249,1100
2085256,115000
2087183,1050
4147269,40
4206123,1456.5
4442887,93
5079600,91261
6045285,52.8
6800808,42.45
4180695,300
4180345,39.3
4185859,1625.78
4304929,1560
